date,day,personnel,personnel*,POW
2022-02-25,2,2800,1,0.0
2022-02-26,3,4300,1,0.0
2022-02-27,4,4500,1,0.0
2022-02-28,5,5300,1,0.0
2022-03-01,6,5710,1,200.0
2022-03-02,7,5840,1,200.0
2022-03-03,8,9000,1,200.0
2022-03-04,9,9166,1,200.0
2022-03-05,10,10000,1,216.0
2022-03-06,11,11000,1,232.0
2022-03-07,12,11000,2,259.0
2022-03-08,13,12000,1,284.0
2022-03-09,14,12000,1,360.0
2022-03-10,15,12000,2,371.0
2022-03-11,16,12000,2,389.0
2022-03-12,17,12000,2,389.0
2022-03-13,18,12000,2,389.0
2022-03-14,19,12000,2,389.0
2022-03-15,20,13500,1,389.0
2022-03-16,21,13800,1,389.0
2022-03-17,22,14000,1,405.0
2022-03-18,23,14200,1,405.0
2022-03-19,24,14400,1,405.0
2022-03-20,25,14700,1,405.0
2022-03-21,26,15000,1,405.0
2022-03-22,27,15300,1,411.0
2022-03-23,28,15600,1,412.0
2022-03-24,29,15800,1,412.0
2022-03-25,30,16100,1,412.0
2022-03-26,31,16400,1,412.0
2022-03-27,32,16600,1,421.0
2022-03-28,33,17000,1,421.0
2022-03-29,34,17200,1,430.0
2022-03-30,35,17300,1,430.0
2022-03-31,36,17500,1,459.0
2022-04-01,37,17700,1,459.0
2022-04-02,38,17800,1,460.0
2022-04-03,39,18000,1,460.0
2022-04-04,40,18300,1,460.0
2022-04-05,41,18500,1,467.0
2022-04-06,42,18600,1,467.0
2022-04-07,43,18900,1,467.0
2022-04-08,44,19000,1,467.0
2022-04-09,45,19100,1,467.0
2022-04-10,46,19300,1,467.0
2022-04-11,47,19500,1,467.0
2022-04-12,48,19600,1,477.0
2022-04-13,49,19800,1,477.0
2022-04-14,50,19900,1,477.0
2022-04-15,51,20000,1,477.0
2022-04-16,52,20100,1,477.0
2022-04-17,53,20300,1,477.0
2022-04-18,54,20600,1,477.0
2022-04-19,55,20800,1,489.0
2022-04-20,56,20900,1,489.0
2022-04-21,57,21000,1,489.0
2022-04-22,58,21200,1,489.0
2022-04-23,59,21600,1,489.0
2022-04-24,60,21800,1,489.0
2022-04-25,61,21900,1,489.0
2022-04-26,62,22100,1,489.0
2022-04-27,63,22400,1,496.0
